Genre,Language,Premiere,Runtime,Title
Variety show,English,"February 8, 2019",1 h 3 min,Kevin Hart's Guide to Black History
Variety show,English,"May 14, 2019",1 h,Still Laugh-In: The Stars Celebrate
Comedy / Musical,English,"May 23, 2019",30 min,The Lonely Island Presents: The Unauthorized Bash Brothers Experience
Mockumentary,English,"July 16, 2019",32 min,"Frankenstein's Monster's Monster, Frankenstein"
Animation / Comedy,English,"August 9, 2019",45 min,Rocko's Modern Life: Static Cling
Animation / Musical,English,"September 27, 2019",41 min,Sturgill Simpson Presents: Sound & Fury
Aftershow / Interview,English,"November 27, 2019",23 min,The Irishman: In Conversation
Comedy,Portuguese,"December 3, 2019",46 min,Porta dos Fundos: The First Temptation of Christ
Variety show,English,"December 24, 2019",1 h 10 min,John Mulaney & the Sack Lunch Bunch
